tweet_id,tweet,followers_count,verified,retweet_count,verified_in_support,verified_in_deny,support,deny,neutral,category,tense
5.54E+17,"Reports that the Jewish community in #France going in to lockdown. Shops, synagogues, schools etc. #ParisShooting #CharlieHebdo",12495,0,279,0,0,2,4,24,rumours,1
5.53E+17,Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,36111,0,573,2,0,8,1,3,rumours,1
5.53E+17,"Powerful image, yes. But it was drawn by @lucilleclerc, not by Banksy. Details: http://t.co/J4WBazwZF7 #charliehebdo http://t.co/f3OEIDDj1K",2074,0,129,0,0,0,0,1,rumours,0
5.54E+17,Five hostages are being held at a kosher grocery store in east Paris http://t.co/w8UiYqEqTM http://t.co/UFnpEqXvLi,5586438,1,171,1,0,2,0,1,rumours,1
5.54E+17,"Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2
https://t.co/aBSezf2QWS",15405096,1,684,0,0,5,0,4,rumours,1
5.54E+17,BREAKING: Another hostage situation developing in a Parisian Kosher supermarket http://t.co/f48bgredPb #CharlieHebdo http://t.co/nl4ipAXaHw,115339,1,156,0,0,1,1,2,rumours,1
5.53E+17,#CharlieHebdo attack suspects take 1 person hostage North-East of Paris (police source) http://t.co/LdSF5QeCiv http://t.co/2y5fPwHXA7,1257471,1,113,0,0,2,0,2,rumours,1
5.54E+17,"Trocadero square in Paris evacuated. Policemen pointing their gun.
http://t.co/u6qjxNUibY via @MelodiePeps",6588,1,165,0,0,0,0,3,rumours,0
5.53E+17,"BREAKING NEWS 
R.I.P. Ahmed Merabet, #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/4W1VeBUsa0",19161,0,158,0,0,3,1,15,rumours,1
5.54E+17,Update - police say gunman in #Paris grocery threatens to kill hostages if police storm suspected #CharlieHebdo gunmen in Dammartin-en-Goele,1380142,1,197,0,0,4,1,14,rumours,1
5.54E+17,#BREAKING At least five hostages in Paris kosher supermarket: source,306362,1,758,1,0,15,0,5,rumours,1
5.53E+17,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be,973212,1,203,0,0,2,2,13,rumours,1
5.53E+17,"French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo",2835,0,143,0,0,1,0,9,rumours,1
5.54E+17,DETAILS: Armed man takes hostage in kosher grocery store in #Vincennes eastern Paris - Reports http://t.co/cI8cztQjE6,843460,1,116,0,0,1,0,1,rumours,1
5.53E+17,10 dead as shots fired at French satirical weekly #CharlieHebdo. #AFP http://t.co/KqSnXV4Kqf,36125,0,119,0,0,0,0,0,rumours,0
5.54E+17,Gallery: Tank &amp; armoured car seen near #CharlieHebdo seige outside Paris (by @heathcliffom) http://t.co/KAlTe4Fmsd http://t.co/9lyesZgpAL,49804,0,215,0,0,0,0,19,rumours,0
5.54E+17,Suspects in Thursday slaying of policewoman and current hostage situation in the East of Paris. AFP http://t.co/sDwgb6GEDw,213434,0,117,0,0,1,0,7,rumours,1
5.53E+17,"Clarissa, 27 years old, police trainee of Montrouge Police in #France. Victim of this morning's attack. via @_batou_ http://t.co/kk0w0D6NNv",7444,0,101,0,0,0,0,2,rumours,1
5.54E+17,Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway #AFP http://t.co/CBBLljNX0K,36954,0,184,0,0,0,0,5,rumours,1
5.53E+17,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB,3847705,1,121,0,0,3,1,7,rumours,0
5.53E+17,BREAKING: French Interior minister: Suspects in Paris terror attack believed to be holding at least 1 hostage near Dammartin-en-Goele.,3850764,1,146,0,0,2,0,3,rumours,0
5.53E+17,Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb,476910,1,141,1,0,2,1,3,rumours,1
5.53E+17,"R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/idgRlYPSk7",330002,0,119,0,0,2,0,4,rumours,1
5.54E+17,#BREAKING : Both hostages in #Dammartin and #Paris are free and safe http://t.co/LdSF5QeCiv,1261376,1,165,0,0,0,0,0,rumours,1
5.53E+17,#CharlieHebdo's lawyer says the magazine's editor-in-chief was killed in the attack. More on this developing story: http://t.co/ryZaVLR6mM,703582,1,137,0,0,3,0,4,rumours,1
5.53E+17,Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large http://t.co/3Jsosc7yl3,841061,1,107,0,0,1,1,15,rumours,1
5.54E+17,BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,4734519,1,151,0,0,9,1,4,rumours,0
5.53E+17,The Image That Everyone Is Sharing isn't By Banksy — But It's Awesome. #CharlieHebdo http://t.co/YF1d7tvNwE http://t.co/UfBtgLRRYc,2400,0,233,0,0,0,0,3,rumours,1
5.53E+17,LIVE: Paris on alert as gunmen kill twelve in massacre at #CharlieHebdo magazine office: http://t.co/q0K4AorQmJ http://t.co/rb4DycPVeC,317466,1,246,0,0,6,5,5,rumours,1
5.53E+17,PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,842236,1,113,0,0,1,0,3,rumours,1
5.53E+17,UPDATE: Two Paris cops shot as manhunt for #CharlieHebdo suspects continues http://t.co/RgwbjXuMTJ http://t.co/wnY8ZMR7Rd,2002870,1,120,0,0,4,0,11,rumours,0
5.53E+17,"DETAILS: Car chase in norhteastern France, hostages taken by #CharlieHebdo suspects http://t.co/G6eunBDIrj http://t.co/sWDOsIfEnP",843104,1,230,0,0,2,2,8,rumours,0
5.53E+17,"BREAKING: French authorities say the two #CharlieHebdo terrorists are still ""armed and extremely dangerous.""",10090,0,106,0,0,1,0,4,rumours,1
5.53E+17,Update - Telegraph reporter Henry Samuels tells Sky News 10 people have been killed in shooting at Charlie Hebdo headquarters in #Paris,1377482,1,105,0,0,0,0,3,rumours,1
5.54E+17,"#CharlieHebdo hostage freed in Dammartin - Kouachi brothers both killed, AFP reports http://t.co/7N7uvClhWY",780532,1,130,0,0,2,0,0,rumours,0
5.53E+17,"11 dead in Paris shooting at French satirical newspaper Charlie Hebdo, police official says - @AP http://t.co/ZFJYh80uxy",7194206,1,317,2,0,7,0,9,rumours,1
5.54E+17,Update - AFP says gunman who has taken a hostage at kosher supermarket in Paris believed to be suspect in killing of policewoman on Thursday,1379153,1,323,0,0,4,0,10,rumours,1
5.53E+17,Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr,1254546,1,149,0,0,3,1,11,rumours,1
5.53E+17,#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,29377,0,107,0,0,2,1,9,rumours,0
5.54E+17,"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",12929794,1,712,0,0,1,1,22,rumours,1
5.53E+17,Banksy's response to the #CharlieHebdo attack isn't by Banksy. But it is striking: http://t.co/mag1lJXzjL http://t.co/3TDPkGFxrx,972550,1,235,0,0,1,1,3,rumours,1
5.53E+17,Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates http://t.co/7iVIN3nqCv http://t.co/YrdUIOjrZF,8436669,1,191,0,0,3,3,13,rumours,0
5.54E+17,BREAKING NEWS: Killed Charlie Hebdo suspects came out firing on security forces. AFP,213512,0,170,0,0,3,1,5,rumours,0
